Video,Duong dan,Thoi gian,Bien so
1,D:/ANPR-main/result_data\vid1\Licenseplate_149_0.jpg,4.0,124-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_150_0.jpg,5.0,124-035.04
1,D:/ANPR-main/result_data\vid1\Licenseplate_151_0.jpg,5.0,[24.03504]
1,D:/ANPR-main/result_data\vid1\Licenseplate_152_0.jpg,5.0,[2A.035.04|
1,D:/ANPR-main/result_data\vid1\Licenseplate_153_0.jpg,5.0,[12A.035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_154_0.jpg,5.0,124.035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_155_0.jpg,5.0,[24*035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_156_0.jpg,5.0,024 035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_157_0.jpg,5.0,b0g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_158_0.jpg,5.0,300-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_159_0.jpg,5.0,300-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_160_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_161_0.jpg,5.0,300-999.991
1,D:/ANPR-main/result_data\vid1\Licenseplate_162_0.jpg,5.0,"306-999,.99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_163_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_164_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_165_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_166_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_167_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_168_0.jpg,5.0,"306-999,.99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_169_0.jpg,5.0,"306-999,.99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_170_0.jpg,5.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_171_0.jpg,5.0,og-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_172_0.jpg,5.0,300-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_173_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_174_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_175_0.jpg,5.0,300-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_176_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_177_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_178_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_179_0.jpg,5.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_180_0.jpg,6.0,30g.999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_181_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_182_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_183_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_184_0.jpg,6.0,20g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_185_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_186_0.jpg,6.0,306.999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_187_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_188_0.jpg,6.0,"306-999,99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_189_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_190_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_191_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_192_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_193_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_194_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_195_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_196_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_197_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_198_0.jpg,6.0,306.999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_199_0.jpg,6.0,306-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_200_0.jpg,6.0,30g-999.99
